[Year],[Month],[geo],[GeoName],[COICOP],[COICOP_Name],[Value]
2019,12,EU27_2020,EU,CP03,Clothing & footwear,105.77
2019,12,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",105.86
2019,12,EU27_2020,EU,CP05,Furnishings & household equipment,101.77
2019,12,EU27_2020,EU,CP07,Transport,106.8
2019,12,EU27_2020,EU,CP10,Education,102.2
2019,12,EU27_2020,EU,CP11,Restaurants & hotels,108.43
2020,1,EU27_2020,EU,CP00,All-items HICP,105
2020,1,EU27_2020,EU,CP01,Food & non-alcoholic beverages,108.52
2020,1,EU27_2020,EU,CP03,Clothing & footwear,92.54
2020,1,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",106.34
2020,1,EU27_2020,EU,CP05,Furnishings & household equipment,101.32
2020,1,EU27_2020,EU,CP07,Transport,106.67
